env,method,seed,ckpt,fqe,has_alpha_in_name,unc_alpha,ood_mean,ood_p50,ood_p90,ood_p95
antmaze-umaze-v2,bc,0,generated_data/bc_antmaze_umaze_v2_seed0.pt,0.2553218603134155,False,,0.7209811210632324,0.67490354180336,1.1733021020889283,1.3266320288181301
antmaze-umaze-v2,bc,1,generated_data/bc_antmaze_umaze_v2_seed1.pt,0.203093022108078,False,,0.7200151681900024,0.6743667423725128,1.172361207008362,1.3229698121547697
antmaze-umaze-v2,bc,2,generated_data/bc_antmaze_umaze_v2_seed2.pt,0.22344675660133362,False,,0.7207081317901611,0.6742547750473022,1.1696987628936768,1.3215863287448884
hopper-medium-replay-v2,bc,0,generated_data/bc_hopper_medium_replay_v2_seed0.pt,96.6799087524414,False,,0.28324928879737854,0.2547197490930557,0.49759708940982844,0.5860544472932815
hopper-medium-replay-v2,bc,1,generated_data/bc_hopper_medium_replay_v2_seed1.pt,105.01384735107422,False,,0.28353965282440186,0.2551821172237396,0.4984752207994463,0.586577033996582
hopper-medium-replay-v2,bc,2,generated_data/bc_hopper_medium_replay_v2_seed2.pt,95.14945220947266,False,,0.28988227248191833,0.26281730830669403,0.5057929933071137,0.5932848185300821
walker2d-medium-v2,bc,0,generated_data/bc_walker2d_medium_v2_seed0.pt,285.6068420410156,False,,0.25251004099845886,0.2280128300189972,0.4012269079685211,0.4852739408612247
walker2d-medium-v2,bc,1,generated_data/bc_walker2d_medium_v2_seed1.pt,276.9394836425781,False,,0.2637447416782379,0.23672396689653397,0.4210685193538666,0.5123068511486053
walker2d-medium-v2,bc,2,generated_data/bc_walker2d_medium_v2_seed2.pt,269.0667724609375,False,,0.2656702697277069,0.23864095658063889,0.4245026171207428,0.5150330066680906
antmaze-umaze-v2,iql,0,generated_data/iql_antmaze_umaze_v2_seed0.pt,0.2699430584907532,False,,0.6820954084396362,0.6106785237789154,1.158738648891449,1.3377623319625849
antmaze-umaze-v2,iql,1,generated_data/iql_antmaze_umaze_v2_seed1.pt,0.23825086653232574,False,,0.6848599910736084,0.6109414100646973,1.1652910351753236,1.3478602945804596
antmaze-umaze-v2,iql,2,generated_data/iql_antmaze_umaze_v2_seed2.pt,0.23855458199977875,False,,0.6806204915046692,0.6088890433311462,1.1569872975349427,1.3396110415458675
hopper-medium-replay-v2,iql,0,generated_data/iql_hopper_medium_replay_v2_seed0.pt,122.46105194091797,False,,0.787287175655365,0.8208675980567932,1.175848114490509,1.2693359017372132
hopper-medium-replay-v2,iql,1,generated_data/iql_hopper_medium_replay_v2_seed1.pt,145.97525024414062,False,,0.8415142297744751,0.8766410648822784,1.2745184421539308,1.3769792854785918
hopper-medium-replay-v2,iql,2,generated_data/iql_hopper_medium_replay_v2_seed2.pt,101.8578872680664,False,,0.8019276261329651,0.8299036026000977,1.195939612388611,1.2906367003917694
antmaze-umaze-v2,iql_u,0,generated_data/iql_u_antmaze_umaze_v2_seed0.pt,0.2792043089866638,False,1.0,0.6654617190361023,0.5970983505249023,1.128219509124756,1.3037097394466395
antmaze-umaze-v2,iql_u,1,generated_data/iql_u_antmaze_umaze_v2_seed1.pt,0.19264335930347443,False,1.0,0.6630818843841553,0.5963532626628876,1.129904091358185,1.3022557377815245
antmaze-umaze-v2,iql_u,2,generated_data/iql_u_antmaze_umaze_v2_seed2.pt,0.22842171788215637,False,1.0,0.662142813205719,0.5926924347877502,1.1291617274284362,1.3017219483852387
hopper-medium-replay-v2,iql_u,0,generated_data/iql_u_hopper_medium_replay_v2_seed0.pt,109.45128631591797,False,1.0,0.7849968671798706,0.790357381105423,1.2190879344940193,1.3281170427799223
hopper-medium-replay-v2,iql_u,1,generated_data/iql_u_hopper_medium_replay_v2_seed1.pt,115.29072570800781,False,1.0,0.7614381909370422,0.7922684848308563,1.135299587249756,1.2264469981193542
hopper-medium-replay-v2,iql_u,2,generated_data/iql_u_hopper_medium_replay_v2_seed2.pt,144.1379852294922,False,1.0,0.783056914806366,0.8008306622505188,1.1850084781646733,1.2608020603656769
antmaze-umaze-v2,iql_u_mcdo,0,generated_data/iql_u_mcdo_antmaze_umaze_v2_seed0.pt,0.26936566829681396,False,1.0,1.9860360622406006,1.9878193140029907,2.2790431261062625,2.362530863285065
antmaze-umaze-v2,iql_u_mcdo,1,generated_data/iql_u_mcdo_antmaze_umaze_v2_seed1.pt,0.22008442878723145,False,1.0,1.9923880100250244,1.9992687702178955,2.2621104240417482,2.3399138689041132
antmaze-umaze-v2,iql_u_mcdo,2,generated_data/iql_u_mcdo_antmaze_umaze_v2_seed2.pt,0.22196224331855774,False,1.0,1.995214581489563,2.0058521032333374,2.264848828315735,2.3371255517005918
hopper-medium-replay-v2,iql_u_mcdo,0,generated_data/iql_u_mcdo_hopper_medium_replay_v2_seed0.pt,101.89533233642578,False,1.0,0.7790576815605164,0.8097099661827087,1.1734327912330629,1.2752408325672149
hopper-medium-replay-v2,iql_u_mcdo,1,generated_data/iql_u_mcdo_hopper_medium_replay_v2_seed1.pt,101.47315216064453,False,1.0,0.790219783782959,0.8292062878608704,1.1747920989990235,1.2772681653499602
hopper-medium-replay-v2,iql_u_mcdo,2,generated_data/iql_u_mcdo_hopper_medium_replay_v2_seed2.pt,91.99209594726562,False,1.0,0.8245677351951599,0.8585538566112518,1.2457435846328735,1.353792107105255
walker2d-medium-v2,iql_u_mcdo,0,generated_data/iql_u_mcdo_walker2d_medium_v2_seed0.pt,243.473876953125,False,1.0,1.4726186990737915,1.456676185131073,1.8369693994522096,1.9713685572147368
walker2d-medium-v2,iql_u_mcdo,1,generated_data/iql_u_mcdo_walker2d_medium_v2_seed1.pt,237.13858032226562,False,1.0,1.4964901208877563,1.499398648738861,1.841174054145813,1.9884683430194854
walker2d-medium-v2,iql_u_mcdo,2,generated_data/iql_u_mcdo_walker2d_medium_v2_seed2.pt,277.204345703125,False,1.0,1.6132043600082397,1.6083860397338867,1.9713499307632447,2.0884805798530577
walker2d-medium-v2,iql_u,0,generated_data/iql_u_walker2d_medium_v2_seed0.pt,285.7555847167969,False,1.0,0.2498229742050171,0.22575049102306366,0.40441627204418185,0.4888694971799849
walker2d-medium-v2,iql_u,1,generated_data/iql_u_walker2d_medium_v2_seed1.pt,311.4449157714844,False,1.0,0.2490909993648529,0.2236626148223877,0.40252014696598054,0.4851037099957466
walker2d-medium-v2,iql_u,2,generated_data/iql_u_walker2d_medium_v2_seed2.pt,248.48977661132812,False,1.0,0.2518331706523895,0.22611962258815765,0.405271390080452,0.4890857428312298
walker2d-medium-v2,iql,0,generated_data/iql_walker2d_medium_v2_seed0.pt,336.6769714355469,False,,0.25324538350105286,0.23045266419649124,0.4114596903324127,0.495391684770584
walker2d-medium-v2,iql,1,generated_data/iql_walker2d_medium_v2_seed1.pt,276.9835510253906,False,,0.25646576285362244,0.23208462446928024,0.4174203574657441,0.5023840993642807
walker2d-medium-v2,iql,2,generated_data/iql_walker2d_medium_v2_seed2.pt,319.8918151855469,False,,0.2550743818283081,0.23108556121587753,0.4155463010072708,0.4987926244735717
antmaze-umaze-v2,td3bc,0,generated_data/td3bc_antmaze_umaze_v2_seed0.pt,0.2572178840637207,False,,0.6523856520652771,0.586710661649704,1.1086089730262756,1.2777642309665678
antmaze-umaze-v2,td3bc,1,generated_data/td3bc_antmaze_umaze_v2_seed1.pt,0.2061559408903122,False,,0.6525974869728088,0.5863589346408844,1.1109257698059083,1.2828606009483334
antmaze-umaze-v2,td3bc,2,generated_data/td3bc_antmaze_umaze_v2_seed2.pt,0.25664862990379333,False,,0.6473097801208496,0.5809400081634521,1.101895594596863,1.271995747089386
hopper-medium-replay-v2,td3bc,0,generated_data/td3bc_hopper_medium_replay_v2_seed0.pt,100.14804077148438,False,,0.2763115167617798,0.24934110045433044,0.4925656408071518,0.5777946770191192
hopper-medium-replay-v2,td3bc,1,generated_data/td3bc_hopper_medium_replay_v2_seed1.pt,103.9275131225586,False,,0.27604779601097107,0.24838293343782425,0.4926019996404648,0.5810358583927153
hopper-medium-replay-v2,td3bc,2,generated_data/td3bc_hopper_medium_replay_v2_seed2.pt,104.86907196044922,False,,0.2745695412158966,0.24669868499040604,0.4921217113733292,0.5810069233179088
antmaze-umaze-v2,td3bc_u,0,generated_data/td3bc_u_antmaze_umaze_v2_seed0.pt,0.25940409302711487,False,,0.6504436731338501,0.5844075381755829,1.1073623776435852,1.2768843412399287
antmaze-umaze-v2,td3bc_u,1,generated_data/td3bc_u_antmaze_umaze_v2_seed1.pt,0.2080935686826706,False,,0.6534335017204285,0.58790323138237,1.1106932759284973,1.2811527788639068
antmaze-umaze-v2,td3bc_u,2,generated_data/td3bc_u_antmaze_umaze_v2_seed2.pt,0.2448916733264923,False,,0.6480032801628113,0.5814144909381866,1.1048646211624145,1.2749332904815671
hopper-medium-replay-v2,td3bc_u,0,generated_data/td3bc_u_hopper_medium_replay_v2_seed0.pt,98.63327026367188,False,,0.2757720649242401,0.24843379110097885,0.4914395540952683,0.57752768099308
hopper-medium-replay-v2,td3bc_u,1,generated_data/td3bc_u_hopper_medium_replay_v2_seed1.pt,103.3087158203125,False,,0.27603012323379517,0.24830497056245804,0.4937070071697235,0.5807120651006697
hopper-medium-replay-v2,td3bc_u,2,generated_data/td3bc_u_hopper_medium_replay_v2_seed2.pt,105.75524139404297,False,,0.2744523584842682,0.24692292511463165,0.4922208160161972,0.5817514955997467
antmaze-umaze-v2,td3bc_u_mcdo,0,generated_data/td3bc_u_mcdo_antmaze_umaze_v2_seed0.pt,0.2582874298095703,False,,0.6646875143051147,0.6007976830005646,1.1287647485733032,1.2964969217777251
antmaze-umaze-v2,td3bc_u_mcdo,1,generated_data/td3bc_u_mcdo_antmaze_umaze_v2_seed1.pt,0.21121951937675476,False,,0.6667376756668091,0.6017263531684875,1.1351676225662233,1.3031980335712432
antmaze-umaze-v2,td3bc_u_mcdo,2,generated_data/td3bc_u_mcdo_antmaze_umaze_v2_seed2.pt,0.21943801641464233,False,,0.6624327301979065,0.5974572002887726,1.1279780387878418,1.2965655088424681
hopper-medium-replay-v2,td3bc_u_mcdo,0,generated_data/td3bc_u_mcdo_hopper_medium_replay_v2_seed0.pt,103.1383056640625,False,,0.27423524856567383,0.24718140810728073,0.4894999206066132,0.5752352297306057
hopper-medium-replay-v2,td3bc_u_mcdo,1,generated_data/td3bc_u_mcdo_hopper_medium_replay_v2_seed1.pt,103.55731964111328,False,,0.2748285233974457,0.24748145788908005,0.4914551258087158,0.5787491887807845
hopper-medium-replay-v2,td3bc_u_mcdo,2,generated_data/td3bc_u_mcdo_hopper_medium_replay_v2_seed2.pt,105.53533172607422,False,,0.2726760804653168,0.245549775660038,0.4900348544120789,0.5793066889047622
walker2d-medium-v2,td3bc_u_mcdo,0,generated_data/td3bc_u_mcdo_walker2d_medium_v2_seed0.pt,344.597900390625,False,,0.24824872612953186,0.22535134106874466,0.40029577612876893,0.4838401302695274
walker2d-medium-v2,td3bc_u_mcdo,1,generated_data/td3bc_u_mcdo_walker2d_medium_v2_seed1.pt,332.89715576171875,False,,0.2489781379699707,0.22606637328863144,0.4018869072198868,0.48393900394439693
walker2d-medium-v2,td3bc_u_mcdo,2,generated_data/td3bc_u_mcdo_walker2d_medium_v2_seed2.pt,376.4189453125,False,,0.2490057647228241,0.22520917654037476,0.4032213300466538,0.48556521087884896
walker2d-medium-v2,td3bc_u,0,generated_data/td3bc_u_walker2d_medium_v2_seed0.pt,346.0623474121094,False,,0.24865658581256866,0.22614213824272156,0.4007568806409836,0.48290828466415403
walker2d-medium-v2,td3bc_u,1,generated_data/td3bc_u_walker2d_medium_v2_seed1.pt,341.0140075683594,False,,0.2501569092273712,0.22742882370948792,0.40236907303333286,0.4838904380798339
walker2d-medium-v2,td3bc_u,2,generated_data/td3bc_u_walker2d_medium_v2_seed2.pt,370.2153015136719,False,,0.24969664216041565,0.22635184228420258,0.40386803746223454,0.4848454639315604
walker2d-medium-v2,td3bc,0,generated_data/td3bc_walker2d_medium_v2_seed0.pt,336.49237060546875,False,,0.249081090092659,0.22639833390712738,0.4006526976823807,0.4832223445177078
walker2d-medium-v2,td3bc,1,generated_data/td3bc_walker2d_medium_v2_seed1.pt,355.0590515136719,False,,0.2496510148048401,0.22683390974998474,0.40114861428737647,0.48307570964097973
walker2d-medium-v2,td3bc,2,generated_data/td3bc_walker2d_medium_v2_seed2.pt,374.4386291503906,False,,0.2496613711118698,0.2264542654156685,0.40351155400276184,0.48435229957103726
