env,method,alpha,seed,ckpt,fqe,ood_mean,ood_p50,ood_p90,ood_p95
hopper-medium-replay-v2,iql_u,0.3,0,generated_data/iql_u_alpha0.3_hopper_medium_replay_v2_seed0.pt,103.13323211669922,0.28983399271965027,0.2615285962820053,0.5171469509601593,0.6116703242063521
hopper-medium-replay-v2,iql_u,0.3,1,generated_data/iql_u_alpha0.3_hopper_medium_replay_v2_seed1.pt,98.90702819824219,0.29762178659439087,0.2694163918495178,0.5289157450199128,0.622930586338043
hopper-medium-replay-v2,iql_u,0.3,2,generated_data/iql_u_alpha0.3_hopper_medium_replay_v2_seed2.pt,92.58605194091797,0.2942240536212921,0.2644060254096985,0.5304023087024688,0.6285918712615967
walker2d-medium-v2,iql_u,0.3,0,generated_data/iql_u_alpha0.3_walker2d_medium_v2_seed0.pt,230.27011108398438,0.25876930356025696,0.23285366594791412,0.41606142520904543,0.5052337735891341
walker2d-medium-v2,iql_u,0.3,1,generated_data/iql_u_alpha0.3_walker2d_medium_v2_seed1.pt,302.48236083984375,0.2599841356277466,0.23407218605279922,0.41846370398998267,0.5070577979087826
walker2d-medium-v2,iql_u,0.3,2,generated_data/iql_u_alpha0.3_walker2d_medium_v2_seed2.pt,268.19451904296875,0.26377737522125244,0.2387990579009056,0.42208214402198796,0.5080954611301421
hopper-medium-replay-v2,iql_u,0.5,0,generated_data/iql_u_alpha0.5_hopper_medium_replay_v2_seed0.pt,100.11512756347656,0.28702953457832336,0.2575363218784332,0.5153292894363404,0.6091530084609984
hopper-medium-replay-v2,iql_u,0.5,1,generated_data/iql_u_alpha0.5_hopper_medium_replay_v2_seed1.pt,102.89443969726562,0.2981984615325928,0.2689259946346283,0.5294079422950745,0.6252606749534604
hopper-medium-replay-v2,iql_u,0.5,2,generated_data/iql_u_alpha0.5_hopper_medium_replay_v2_seed2.pt,98.6877212524414,0.293168842792511,0.26341791450977325,0.5279892027378082,0.6264751493930815
walker2d-medium-v2,iql_u,0.5,0,generated_data/iql_u_alpha0.5_walker2d_medium_v2_seed0.pt,233.17449951171875,1.6015790700912476,1.6033248901367188,1.9328386187553406,2.0553193569183343
walker2d-medium-v2,iql_u,0.5,1,generated_data/iql_u_alpha0.5_walker2d_medium_v2_seed1.pt,266.9522705078125,0.259705126285553,0.23396217823028564,0.41840017735958107,0.5090445697307584
walker2d-medium-v2,iql_u,0.5,2,generated_data/iql_u_alpha0.5_walker2d_medium_v2_seed2.pt,270.80126953125,1.5841690301895142,1.6050836443901062,1.96000394821167,2.0801402926445007
hopper-medium-replay-v2,iql_u,0.0,0,generated_data/iql_u_alpha0_hopper_medium_replay_v2_seed0.pt,129.01705932617188,0.2851131558418274,0.25525814294815063,0.5127024412155151,0.6066770285367965
hopper-medium-replay-v2,iql_u,0.0,1,generated_data/iql_u_alpha0_hopper_medium_replay_v2_seed1.pt,101.59223175048828,0.28366950154304504,0.2552317678928375,0.5084560811519624,0.5994884699583052
hopper-medium-replay-v2,iql_u,0.0,2,generated_data/iql_u_alpha0_hopper_medium_replay_v2_seed2.pt,94.43107604980469,0.2938537001609802,0.2640877664089203,0.5303596436977387,0.6262737154960631
walker2d-medium-v2,iql_u,0.0,0,generated_data/iql_u_alpha0_walker2d_medium_v2_seed0.pt,258.5031433105469,0.2558844983577728,0.23117464780807495,0.4115969896316528,0.4973519116640091
walker2d-medium-v2,iql_u,0.0,1,generated_data/iql_u_alpha0_walker2d_medium_v2_seed1.pt,269.76629638671875,0.2579144537448883,0.23187513649463654,0.4161970466375351,0.5048067957162856
walker2d-medium-v2,iql_u,0.0,2,generated_data/iql_u_alpha0_walker2d_medium_v2_seed2.pt,282.59405517578125,0.25880634784698486,0.23516526818275452,0.4165606439113617,0.5004079371690748
hopper-medium-replay-v2,iql_u,1.0,0,generated_data/iql_u_alpha1_hopper_medium_replay_v2_seed0.pt,104.01468658447266,0.2940308153629303,0.26286475360393524,0.5282997965812684,0.6284616112709042
hopper-medium-replay-v2,iql_u,1.0,1,generated_data/iql_u_alpha1_hopper_medium_replay_v2_seed1.pt,103.1003646850586,0.3074834644794464,0.2772848606109619,0.5433386266231538,0.6427235722541808
hopper-medium-replay-v2,iql_u,1.0,2,generated_data/iql_u_alpha1_hopper_medium_replay_v2_seed2.pt,102.73966217041016,0.2986815571784973,0.2676876485347748,0.5370063185691833,0.6350131958723063
walker2d-medium-v2,iql_u,1.0,0,generated_data/iql_u_alpha1_walker2d_medium_v2_seed0.pt,222.19781494140625,1.5174479484558105,1.5155224800109863,1.856714379787445,1.9909056544303894
walker2d-medium-v2,iql_u,1.0,1,generated_data/iql_u_alpha1_walker2d_medium_v2_seed1.pt,277.32080078125,1.6120983362197876,1.630191683769226,1.9657387018203736,2.0763438940048213
walker2d-medium-v2,iql_u,1.0,2,generated_data/iql_u_alpha1_walker2d_medium_v2_seed2.pt,266.30877685546875,1.589816927909851,1.6090086102485657,1.951115095615387,2.0914877653121944
